,loss,accuracy,val_loss,val_accuracy
0,0.635909378528595,0.8024739623069763,0.3198605179786682,0.8979166746139526
1,0.30559998750686646,0.8996294140815735,0.2431645542383194,0.9207932949066162
2,0.24351295828819275,0.9178385138511658,0.2168961763381958,0.9286057949066162
3,0.2060973346233368,0.9300681352615356,0.19863112270832062,0.9345753192901611
4,0.18075968325138092,0.9363381266593933,0.1867179125547409,0.9375
5,0.15961365401744843,0.9433794021606445,0.1837664246559143,0.9387820363044739
6,0.14316177368164062,0.9482271671295166,0.17931011319160461,0.940504789352417
7,0.12896473705768585,0.9522836804389954,0.18621768057346344,0.9394631385803223
8,0.1173500269651413,0.9561999440193176,0.18590140342712402,0.9397836327552795
9,0.10664461553096771,0.9587740302085876,0.18229739367961884,0.9409855604171753
10,0.09761153906583786,0.9621394276618958,0.18537089228630066,0.9398237466812134
11,0.09057413786649704,0.9638822078704834,0.18689998984336853,0.9414262771606445
