,loss,accuracy,val_loss,val_accuracy
0,0.24674731492996216,0.9229583144187927,0.05293428152799606,0.984250009059906
1,0.06456273049116135,0.9801979064941406,0.030891168862581253,0.9911041855812073
2,0.04358650743961334,0.9870052337646484,0.026802493259310722,0.991854190826416
3,0.034959837794303894,0.9892968535423279,0.02107810787856579,0.9937916398048401
4,0.029501279816031456,0.9911249876022339,0.02130386047065258,0.9936041831970215
5,0.02668406441807747,0.9918593764305115,0.01792518049478531,0.9951666593551636
6,0.023789390921592712,0.9927083253860474,0.017556194216012955,0.9947708249092102
7,0.021790526807308197,0.9936041831970215,0.017053743824362755,0.9950833320617676
8,0.019791362807154655,0.9940937757492065,0.017267746850848198,0.995145857334137
9,0.018352730199694633,0.9944062232971191,0.0160688329488039,0.9953749775886536
10,0.016457175835967064,0.9950208067893982,0.01519502978771925,0.9957083463668823
11,0.016386399045586586,0.9950520992279053,0.01573827862739563,0.9956666827201843
12,0.014861340634524822,0.9955520629882812,0.015652526170015335,0.9956250190734863
13,0.014308026991784573,0.9955624938011169,0.015035699121654034,0.9960208535194397
14,0.013387536630034447,0.9957968592643738,0.015239723026752472,0.9960416555404663
15,0.012902799062430859,0.9960989356040955,0.015438678674399853,0.9959166646003723
16,0.012462488375604153,0.9962812662124634,0.014894268475472927,0.9961458444595337
17,0.01147178653627634,0.9965885281562805,0.015012253075838089,0.9962291717529297
18,0.011013306677341461,0.9965364336967468,0.014855350367724895,0.9961666464805603
19,0.01028122752904892,0.9968489408493042,0.015595910139381886,0.9961458444595337
20,0.010036610066890717,0.9968125224113464,0.015219094231724739,0.9963124990463257
21,0.010147645138204098,0.9966093897819519,0.014967967756092548,0.9963541626930237
22,0.00981893390417099,0.9969270825386047,0.01565016619861126,0.9963124990463257
23,0.008883371017873287,0.9973697662353516,0.015884440392255783,0.9963333606719971
